time,RobotiQ 3-Finger Adaptive Gripper_cmx,RobotiQ 3-Finger Adaptive Gripper_cmy,RobotiQ 3-Finger Adaptive Gripper_cmz,RobotiQ 3-Finger Adaptive Gripper_q[Link 0],RobotiQ 3-Finger Adaptive Gripper_q[Link 1],RobotiQ 3-Finger Adaptive Gripper_q[Link 2],RobotiQ 3-Finger Adaptive Gripper_q[Link 3],RobotiQ 3-Finger Adaptive Gripper_q[Link 4],RobotiQ 3-Finger Adaptive Gripper_q[Link 5],RobotiQ 3-Finger Adaptive Gripper_q[reflex:base],RobotiQ 3-Finger Adaptive Gripper_q[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 0],RobotiQ 3-Finger Adaptive Gripper_dq[Link 1],RobotiQ 3-Finger Adaptive Gripper_dq[Link 2],RobotiQ 3-Finger Adaptive Gripper_dq[Link 3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 4],RobotiQ 3-Finger Adaptive Gripper_dq[Link 5],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:base],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],spray_bottle_comx,spray_bottle_comy,spray_bottle_comz,spray_bottle_x,spray_bottle_y,spray_bottle_z,spray_bottle_rx,spray_bottle_ry,spray_bottle_rz,spray_bottle_dx,spray_bottle_dy,spray_bottle_dz,spray_bottle_wx,spray_bottle_wy,spray_bottle_wz,cmd_setpoint1,cmd_setpoint2,cmd_setpoint3,cmd_setpoint4,tendon_length1,tendon_length2,tendon_length3
0.0,-0.105518068282,-0.0062486865462,0.16037127435,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.317,0.0,0.317,0.0,0.317,0.0,0.00599858760499,-0.00244978320389,0.0853732996359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882744479495,0.882744479495,0.882744479495,0.0,0.0215,0.0215,0.0215
0.01,-0.105488342009,-0.00624790773493,0.160034382408,1.16953902904e-10,0.000360475926254,-7.30019118798e-06,1.1509078135e-09,6.59518661905e-10,6.28318530491,0.0,0.0,-3.08593151033e-10,0.00378035495042,6.28318530709,0.0,0.0,-2.20022222663e-10,0.00391133723422,6.28318530712,0.0,0.0,0.00391133718141,6.28318530712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.31843153391e-07,-7.27280552481,0.0364882934623,-2.37771669572e-06,-2.33676959896e-07,4.96125768798e-06,2.81929362011e-10,0.596196450496,4.52158310793e-10,0.594886627658,2.8448354783e-10,0.594886628186,2.8448354783e-10,0.00599850884764,-0.00244983347535,0.0853636586937,2.89183607616e-13,1.80116772192e-13,-9.6450333283e-06,5.88845000786e-07,-9.22508914822e-07,-8.98121557176e-13,-7.80557554213e-06,-4.54821813717e-06,2.06049960309e-05,5.32744723129e-05,-9.14287570031e-05,2.58713148703e-11,0.872744479495,0.872744479495,0.872744479495,0.0,0.021159225,0.021159225,0.021159225
0.02,-0.105416583309,-0.00624586764829,0.159469061041,3.09468849209e-10,0.000965390982174,-2.05035497981e-05,3.41424666317e-09,1.28210331241e-09,6.28318530008,0.0,0.0,-9.61145829592e-10,0.0126185762904,6.28318530697,0.0,0.0,-6.84891254821e-10,0.0128905845184,6.28318530705,0.0,0.0,0.0128905845378,6.28318530705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3564463294e-06,-10.9183935308,0.102486642331,-4.27272763029e-06,-4.2115293353e-07,9.00962526374e-06,8.79343566245e-10,0.824814237096,1.02373665101e-09,0.822094154816,6.44377884385e-10,0.822094154622,6.44382325277e-10,0.00599843300551,-0.00244987766633,0.0853638589064,2.87505262653e-13,1.7561429741e-13,-9.44888129356e-06,1.10646550164e-06,-1.81086772685e-06,-5.07333118227e-13,-7.40624739162e-06,-4.31535954952e-06,1.95519667591e-05,5.05469402516e-05,-8.67513262204e-05,4.53185082185e-11,0.862744479495,0.862744479495,0.862744479495,0.0,0.0208551084113,0.0208565794751,0.0208565794748
0.03,-0.105304498061,-0.00624228843356,0.158950860142,5.45189057209e-10,0.00151992476309,-3.19693002797e-05,6.11690964547e-09,1.7718582157e-09,6.28318529432,0.0,0.0,-1.73672987103e-09,0.0256876070886,6.28318530688,0.0,0.0,-1.23739685165e-09,0.0260410713642,6.28318530699,0.0,0.0,0.0260410714236,6.28318530699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5351521731e-06,-12.5761818401,0.159801335996,-5.8484318981e-06,-5.62137633433e-07,1.23942992111e-05,1.5894226489e-09,1.01112392911,1.48866696748e-09,1.00758928636,9.37561139835e-10,1.00758928576,9.3757002162e-10,0.00599836346143,-0.0024499209828,0.0853640490563,2.91957430454e-13,1.72362991935e-13,-9.26237464449e-06,1.61384271121e-06,-2.62545589909e-06,8.28623275631e-14,-7.04007813604e-06,-4.08742347265e-06,1.85518427936e-05,4.78770661985e-05,-8.24622934683e-05,6.03544531898e-11,0.852744479495,0.852744479495,0.852744479495,0.0,0.0206042648463,0.0206073269514,0.0206073269525
0.04,-0.105159943114,-0.00623681154634,0.158560548169,8.34731293536e-10,0.00193765403411,-4.22744772292e-05,8.90825191391e-09,2.17366746824e-09,6.28318528835,0.0,0.0,-2.53516763138e-09,0.0422045393224,6.28318530681,0.0,0.0,-1.80616055445e-09,0.0425969728316,6.28318530694,0.0,0.0,0.0425969729381,6.28318530694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.91639658953e-06,-13.2184500148,0.211316892596,-7.24155214347e-06,-6.78289167686e-07,1.5403912713e-05,2.32049617051e-09,1.16295460678,1.86645809919e-09,1.15903027168,1.17631238084e-09,1.15903027062,1.17631682173e-09,0.00599829723784,-0.00244996178734,0.0853642294805,2.22807883254e-13,2.15100940532e-13,-9.08543237388e-06,2.09179746151e-06,-3.40114937519e-06,4.16384628793e-13,-4.49922302007e-06,-4.97003486304e-06,1.77650549635e-05,5.82158069861e-05,-5.2699650913e-05,-2.60583710517e-10,0.842744479495,0.842744479495,0.842744479495,0.0,0.0203998407027,0.0204038339787,0.0204038339798
0.05,-0.104989068882,-0.00622905518921,0.15829708324,1.17833268883e-09,0.00221968830945,-5.15839236172e-05,1.16521565729e-08,2.51063170253e-09,6.28318528246,0.0,0.0,-3.31807115117e-09,0.0615312913784,6.28318530674,0.0,0.0,-2.36382380336e-09,0.0619331135571,6.28318530691,0.0,0.0,0.0619331137094,6.28318530691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.44421700026e-06,-13.3862588798,0.257856932843,-8.53610964139e-06,-7.76507652618e-07,1.82184983566e-05,3.03745654382e-09,1.28668708622,2.17321716178e-09,1.28266886443,1.37059252836e-09,1.28266886291,1.37059696925e-09,0.00599823252015,-0.00244999973356,0.0853644005351,3.17019847873e-13,1.72307914464e-13,-8.91783576044e-06,2.53627105609e-06,-4.15920576828e-06,1.65933279295e-12,-6.35063972519e-06,-3.6723968634e-06,1.67032078981e-05,4.30157529704e-05,-7.43867264069e-05,8.38048574267e-11,0.832744479495,0.832744479495,0.832744479495,0.0,0.0202332482002,0.0202376992965,0.020237699298
0.06,-0.104797000092,-0.00621866234601,0.158132637602,1.57085147729e-09,0.00239579696499,-6.01048702901e-05,1.4313605412e-08,2.79589240648e-09,6.28318527671,0.0,0.0,-4.07568112593e-09,0.0831478691037,6.2831853067,0.0,0.0,-2.90343571407e-09,0.0835390791709,6.28318530687,0.0,0.0,0.0835390793706,6.28318530687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.07454404668e-06,-13.3610560999,0.300457128227,-9.7809062839e-06,-8.60446541283e-07,2.09436410834e-05,3.73136431071e-09,1.38752130896,2.42197817357e-09,1.38360920829,1.52851065138e-09,1.38360920629,1.52851065138e-09,0.00599817325823,-0.00245003681601,0.0853645630063,3.35117350536e-13,1.74101618539e-13,-8.75846403646e-06,2.9706275854e-06,-4.85335628384e-06,2.61984384023e-12,-6.03818102852e-06,-3.48077172352e-06,1.5848649492e-05,4.07711931772e-05,-7.07268194718e-05,9.54714209093e-11,0.822744479495,0.822744479495,0.822744479495,0.0,0.020097485749,0.0201020645586,0.0201020645605
0.07,-0.104588091854,-0.00620532331602,0.158036569052,2.00481218212e-09,0.00249876129512,-6.81357475571e-05,1.68984684024e-08,3.03841662941e-09,6.2831852711,0.0,0.0,-4.80970197003e-09,0.10663048404,6.28318530665,0.0,0.0,-3.4262139792e-09,0.106998141895,6.28318530685,0.0,0.0,0.106998142147,6.28318530685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.77245241878e-06,-13.2775886316,0.340609187717,-1.10024900479e-05,-9.3240788475e-07,2.36378051542e-05,4.40376875107e-09,1.4696951596,2.62339927559e-09,1.46601858105,1.65669700181e-09,1.46601857853,1.65669700181e-09,0.00599811458466,-0.00245007060144,0.0853647170032,3.57898606584e-13,1.77878978908e-13,-8.60761987041e-06,3.36636522827e-06,-5.54061539962e-06,3.64100091315e-12,-5.72968138723e-06,-3.29911570878e-06,1.50387147087e-05,3.86434142576e-05,-6.71132825195e-05,9.92494056059e-11,0.812744479495,0.812744479495,0.812744479495,0.0,0.0199868478729,0.0199913303872,0.0199913303897
0.08,-0.104365272027,-0.0061887840982,0.157983946034,2.47193038951e-09,0.00255525381472,-7.51066637903e-05,1.94246805307e-08,3.24908366878e-09,6.28318526557,0.0,0.0,-5.52512879892e-09,0.131631993279,6.28318530662,0.0,0.0,-3.93572374691e-09,0.131968801511,6.28318530683,0.0,0.0,0.131968801838,6.28318530683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.05225947272e-05,-13.1929703216,0.358316152544,-1.2214234911e-05,-1.00058488337e-06,2.63311830391e-05,5.05922158141e-09,1.53668006721,2.787228226e-09,1.53331198489,1.76131553786e-09,1.53331198162,1.76131997875e-09,0.00599806129297,-0.00245010402172,0.0853648632965,3.81775340508e-13,1.81689299023e-13,-8.46411157288e-06,3.75782578351e-06,-6.16483523527e-06,4.74788129421e-12,-5.44908412056e-06,-3.12308341922e-06,1.42692630486e-05,3.65815023628e-05,-6.38265745385e-05,1.03705556759e-10,0.802744479495,0.802744479495,0.802744479495,0.0,0.019896684707,0.0199009251711,0.0199009251742
0.09,-0.104130884588,-0.00616884327938,0.157957124328,2.96453330464e-09,0.0025841506012,-8.0449683354e-05,2.19101323751e-08,3.43047101836e-09,6.28318526009,0.0,0.0,-6.22684215301e-09,0.15787265683,6.2831853066,0.0,0.0,-4.43544667661e-09,0.158174505403,6.28318530681,0.0,0.0,0.158174505799,6.28318530681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.22817341104e-05,-13.1263075499,0.36397709588,-1.34221549029e-05,-1.0621576355e-06,2.90385229839e-05,5.70217556787e-09,1.5912734317,2.91970891908e-09,1.58825494597,1.84617654497e-09,1.58825494201,1.84618542676e-09,0.00599801080334,-0.00245013577027,0.0853650021188,4.07490881316e-13,1.86899540983e-13,-8.32792539007e-06,4.12970500026e-06,-6.75623365689e-06,5.89889930054e-12,-5.17922811595e-06,-2.97091118039e-06,1.35391594968e-05,3.47990487367e-05,-6.06656943849e-05,1.23386952778e-10,0.792744479495,0.792744479495,0.792744479495,0.0,0.0198231896163,0.0198271037728,0.0198271037766
