time,body1,body2,numContacts,cpx_avg,cpy_avg,cpz_avg,cnx_avg,cny_avg,cnz_avg,fx_avg,fy_avg,fz_avg,mx_avg,my_avg,mz_avg
0.01,floor,hammer,9,0.0640894432298,-0.000697778547748,-2.65951198223e-05,0.0,0.0,-0.998581841588,-0.039666280127,-0.00256454914936,9.14804351211,-1.76638389744e-05,-0.00149967598266,-0.000807850625821
0.02,floor,hammer,9,0.0640894432773,-0.000697778465626,-2.72589880335e-05,0.0,0.0,-0.998581841588,-7.82003432637e-05,-0.000145869197088,9.29120939791,-1.16160338086e-05,-0.00204328579682,-2.53973781186e-05
0.03,floor,hammer,9,0.0640894433184,-0.000697778387443,-2.79065298745e-05,0.0,0.0,-0.998581841588,-7.56585746275e-05,-0.000139119759726,9.29118319435,-1.18074961727e-05,-0.00204312450894,-2.42235600055e-05
0.04,floor,hammer,9,0.0640894433598,-0.000697778311713,-2.85331396698e-05,0.0,0.0,-0.998581841588,-7.31992582638e-05,-0.000134655357372,9.29115790893,-1.1978719704e-05,-0.00204305247402,-2.3448527828e-05
0.05,floor,hammer,9,0.0640894434014,-0.00069777823836,-2.91394940348e-05,0.0,0.0,-0.998581841588,-7.08203626346e-05,-0.000130335604433,9.29113343942,-1.2132838445e-05,-0.00204305551143,-2.26984633428e-05
0.06,floor,hammer,9,0.0640894434432,-0.00069777816731,-2.97262477391e-05,0.0,0.0,-0.998581841588,-6.85192298011e-05,-0.000126154148915,9.29110975947,-1.22716612017e-05,-0.00204312007749,-2.19722756373e-05
0.07,floor,hammer,9,0.0640894434849,-0.000697778098494,-3.02940343857e-05,0.0,0.0,-0.998581841588,-6.62932905723e-05,-0.000122106591398,9.29108684363,-1.2396809237e-05,-0.00204323438055,-2.12692137101e-05
0.08,floor,hammer,10,0.0847160993695,0.00143000048869,-2.77747061901e-05,0.0,0.0,-0.998757234216,-4.35098636826e-05,9.1423509499e-06,9.2908283693,-0.000105008260982,-0.00153278823046,1.56620822121e-06
0.09,floor,hammer,10,0.0847160993927,0.00143000043917,-2.82553753349e-05,0.0,0.0,-0.998757234216,-4.5059322285e-05,9.76911704472e-05,9.29084239536,-0.000104995753943,-0.00153301734963,1.7002465656e-05
0.1,floor,hammer,10,0.0847160994157,0.00143000039128,-2.87205370484e-05,0.0,0.0,-0.998757234216,-4.36017210205e-05,9.45484455563e-05,9.2908281348,-0.000104942808461,-0.00153310187253,1.64559700727e-05
0.11,floor,hammer,10,0.0847160994385,0.001430000345,-2.91706903919e-05,0.0,0.0,-0.998757234216,-4.21908542739e-05,9.14898185084e-05,9.29081432843,-0.000104887470857,-0.00153319454227,1.5924061559e-05
0.12,floor,hammer,10,0.0847160994611,0.00143000030027,-2.96063196081e-05,0.0,0.0,-0.998757234216,-4.08257818379e-05,8.85301701148e-05,9.29080096713,-0.000104829917207,-0.00153329284212,1.54093381293e-05
0.13,floor,hammer,10,0.0847160994834,0.00143000025704,-3.00278933158e-05,0.0,0.0,-0.998757234216,-3.95050087996e-05,8.56663020364e-05,9.29078803657,-0.000104770320683,-0.00153339460071,1.49112462129e-05
0.14,floor,hammer,10,0.0847160995055,0.00143000021526,-3.04358650138e-05,0.0,0.0,-0.998757234216,-3.82270894454e-05,8.28951154837e-05,9.29077552287,-0.000104708856786,-0.00153349797811,1.44292493582e-05
0.15,floor,hammer,10,0.0847160995273,0.00143000017487,-3.08306735687e-05,0.0,0.0,-0.998757234216,-3.69906257258e-05,8.02136115552e-05,9.2907634126,-0.00010464570142,-0.00153360142592,1.39628283051e-05
