time,RobotiQ 3-Finger Adaptive Gripper_cmx,RobotiQ 3-Finger Adaptive Gripper_cmy,RobotiQ 3-Finger Adaptive Gripper_cmz,RobotiQ 3-Finger Adaptive Gripper_q[Link 0],RobotiQ 3-Finger Adaptive Gripper_q[Link 1],RobotiQ 3-Finger Adaptive Gripper_q[Link 2],RobotiQ 3-Finger Adaptive Gripper_q[Link 3],RobotiQ 3-Finger Adaptive Gripper_q[Link 4],RobotiQ 3-Finger Adaptive Gripper_q[Link 5],RobotiQ 3-Finger Adaptive Gripper_q[reflex:base],RobotiQ 3-Finger Adaptive Gripper_q[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 0],RobotiQ 3-Finger Adaptive Gripper_dq[Link 1],RobotiQ 3-Finger Adaptive Gripper_dq[Link 2],RobotiQ 3-Finger Adaptive Gripper_dq[Link 3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 4],RobotiQ 3-Finger Adaptive Gripper_dq[Link 5],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:base],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],spray_bottle_comx,spray_bottle_comy,spray_bottle_comz,spray_bottle_x,spray_bottle_y,spray_bottle_z,spray_bottle_rx,spray_bottle_ry,spray_bottle_rz,spray_bottle_dx,spray_bottle_dy,spray_bottle_dz,spray_bottle_wx,spray_bottle_wy,spray_bottle_wz,cmd_setpoint1,cmd_setpoint2,cmd_setpoint3,cmd_setpoint4,tendon_length1,tendon_length2,tendon_length3
0.0,0.0162761402775,-0.0955310184781,0.0603712743501,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.317,0.0,0.317,0.0,0.317,0.0,0.00599858760499,-0.00244978320389,0.0853732996359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882744479495,0.882744479495,0.882744479495,0.0,0.0215,0.0215,0.0215
0.01,0.0162753851383,-0.0955012915943,0.0600343824081,1.16953907423e-10,0.000360475926254,-7.300191188e-06,1.1509078135e-09,6.59519550084e-10,6.28318530491,0.0,0.0,-3.08593151033e-10,0.00378035495042,6.28318530709,0.0,0.0,-2.20023110842e-10,0.00391133723422,6.28318530712,0.0,0.0,0.00391133718141,6.28318530712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.31843175162e-07,-7.27280552481,0.0364882934624,-2.37771669418e-06,-2.33677398107e-07,4.96125813205e-06,2.81926534858e-10,0.596196450496,4.52158310793e-10,0.594886627658,2.8448354783e-10,0.594886628186,2.8448354783e-10,0.00599530640617,-0.0024371433745,0.0854474672623,-3.08984829988e-08,1.12184799835e-07,7.35807532325e-05,-0.000146735452715,-3.80729828155e-05,5.19818837324e-08,-0.000414781925641,0.001424599275,0.00728959365384,-0.0165374032921,-0.00481493658659,-2.90673558323e-06,0.872744479495,0.872744479495,0.872744479495,0.0,0.021159225,0.021159225,0.021159225
0.02,0.0162734021957,-0.0954295312926,0.0594690610408,3.09468851237e-10,0.000965390982174,-2.05035497982e-05,3.41424666317e-09,1.28210420058e-09,6.28318530008,0.0,0.0,-9.61145829592e-10,0.0126185762904,6.28318530697,0.0,0.0,-6.84891254821e-10,0.0128905845184,6.28318530705,0.0,0.0,0.0128905845378,6.28318530705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.356446338e-06,-10.9183935308,0.102486642332,-4.27272763117e-06,-4.21153382995e-07,9.00962526655e-06,8.79343566245e-10,0.824814237096,1.02373665101e-09,0.822094154816,6.44377884385e-10,0.822094154622,6.44377884385e-10,0.00598892335675,-0.00242428319145,0.0855185428471,-8.98179629326e-08,2.32424979103e-07,0.000143849717712,-0.000295966555066,-0.000112145673535,-4.34375350817e-08,-0.000779582236997,0.00120558088811,0.00694293997317,-0.0139869171516,-0.00904517658899,-1.23455585991e-05,0.862744479495,0.862744479495,0.862744479495,0.0,0.0208551084113,0.0208565794751,0.0208565794748
0.03,0.0162699122386,-0.0953174432296,0.058950860142,5.45189060568e-10,0.00151992476309,-3.19693002799e-05,6.11690964547e-09,1.7718582157e-09,6.28318529432,0.0,0.0,-1.73672987103e-09,0.0256876070886,6.28318530688,0.0,0.0,-1.23739685165e-09,0.0260410713642,6.28318530699,0.0,0.0,0.0260410714236,6.28318530699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.53515219251e-06,-12.5761818401,0.159801335997,-5.84843189703e-06,-5.62137637825e-07,1.23942992093e-05,1.5894226489e-09,1.01112392911,1.48866252658e-09,1.00758928636,9.37565580728e-10,1.00758928576,9.37565580728e-10,0.00597950828015,-0.0024130649172,0.0855859430175,-1.80446047983e-07,3.41904839267e-07,0.000210281544465,-0.0004260941482,-0.000221358853579,-1.97928637033e-07,-0.00105273656147,0.00106436055964,0.0065782279192,-0.0123442343521,-0.0122094459059,-1.58182747637e-05,0.852744479495,0.852744479495,0.852744479495,0.0,0.0206042648463,0.0206073269514,0.0206073269525
0.04,0.0162645504661,-0.0951728839675,0.0585605481694,8.3473129421e-10,0.00193765403411,-4.22744772292e-05,8.90825191391e-09,2.17366746824e-09,6.28318528835,0.0,0.0,-2.53516763138e-09,0.0422045393224,6.28318530681,0.0,0.0,-1.80616055445e-09,0.0425969728316,6.28318530694,0.0,0.0,0.0425969729381,6.28318530694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9163965945e-06,-13.2184500148,0.211316892596,-7.24155214276e-06,-6.78289174603e-07,1.54039127167e-05,2.32049617051e-09,1.16295460678,1.86645809919e-09,1.15903027168,1.17631682173e-09,1.15903027062,1.17631682173e-09,0.00596827626323,-0.00240290841268,0.0856497960613,-2.9268825753e-07,4.4367123923e-07,0.000273072856779,-0.000543874842799,-0.000351598889669,-3.6810323875e-07,-0.0011391190037,0.000997109998833,0.00622394913029,-0.0115617719865,-0.0132065729917,-1.50545048245e-05,0.842744479495,0.842744479495,0.842744479495,0.0,0.0203998407027,0.0204038339787,0.0204038339798
0.05,0.0162569301831,-0.0950020036125,0.0582970832401,1.17833268868e-09,0.00221968830945,-5.15839236172e-05,1.16521565729e-08,2.51063170253e-09,6.28318528246,0.0,0.0,-3.31807115117e-09,0.0615312913784,6.28318530674,0.0,0.0,-2.36382380336e-09,0.0619331135571,6.28318530691,0.0,0.0,0.0619331137094,6.28318530691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.44421699842e-06,-13.3862588798,0.257856932843,-8.53610964096e-06,-7.76507654785e-07,1.82184983625e-05,3.03745654382e-09,1.28668708622,2.17321272089e-09,1.28266886443,1.37059252836e-09,1.28266886291,1.37059252836e-09,0.00595736961862,-0.00239347514382,0.0857105441199,-4.0552667511e-07,5.40984599075e-07,0.000332804727226,-0.000653233634142,-0.000478020004882,-5.16620740552e-07,-0.000961351770696,0.000783331207543,0.00601751175054,-0.00907896718698,-0.0111405760108,-9.28748723663e-06,0.832744479495,0.832744479495,0.832744479495,0.0,0.0202332482002,0.0202376992965,0.020237699298
0.06,0.0162466902927,-0.0948099266078,0.0581326376024,1.57085148011e-09,0.00239579696499,-6.01048702901e-05,1.43136063002e-08,2.79589329466e-09,6.28318527671,0.0,0.0,-4.0756820141e-09,0.0831478691037,6.2831853067,0.0,0.0,-2.90343571407e-09,0.0835390791709,6.28318530687,0.0,0.0,0.0835390793706,6.28318530687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.07454406805e-06,-13.3610560999,0.300457128227,-9.78090672622e-06,-8.60446977444e-07,2.09436410853e-05,3.73136713786e-09,1.38752130896,2.42197817357e-09,1.38360920829,1.52851065138e-09,1.38360920629,1.52851065138e-09,0.00595028315863,-0.00238622749859,0.0857687575607,-4.81596399845e-07,6.18481383287e-07,0.000390328512106,-0.000737218587205,-0.000560128422671,-5.78218982836e-07,-0.000556023136222,0.000720352574887,0.00567283463239,-0.00834596489814,-0.00644150183569,-3.19075496823e-06,0.822744479495,0.822744479495,0.822744479495,0.0,0.020097485749,0.0201020645586,0.0201020645605
0.07,0.0162335176262,-0.0946010078142,0.0580365690518,2.00481218506e-09,0.00249876129512,-6.81357475571e-05,1.68984684024e-08,3.03841751759e-09,6.2831852711,0.0,0.0,-4.80970197003e-09,0.10663048404,6.28318530665,0.0,0.0,-3.4262139792e-09,0.106998141895,6.28318530685,0.0,0.0,0.106998142147,6.28318530685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.77245243585e-06,-13.2775886316,0.340609187717,-1.10024900486e-05,-9.32408335036e-07,2.36378051585e-05,4.40376875107e-09,1.4696951596,2.62339927559e-09,1.46601858105,1.65669256091e-09,1.46601857853,1.65669256091e-09,0.00594615227208,-0.00237871246676,0.0858238504549,-5.27149910319e-07,7.01239137878e-07,0.000444929309305,-0.000824270129033,-0.000607977677055,-5.83609870326e-07,-0.000303573854223,0.000776262632868,0.00537810805663,-0.00899057795434,-0.00351591133202,2.2205609818e-07,0.812744479495,0.812744479495,0.812744479495,0.0,0.0199868478729,0.0199913303872,0.0199913303897
0.08,0.016217155851,-0.0943781748865,0.0579839460339,2.47193039109e-09,0.00255525381472,-7.51066637902e-05,1.94246805307e-08,3.24908455696e-09,6.28318526557,0.0,0.0,-5.52512879892e-09,0.131631993279,6.28318530662,0.0,0.0,-3.93572374691e-09,0.131968801511,6.28318530683,0.0,0.0,0.131968801838,6.28318530683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.05225947331e-05,-13.1929703216,0.358316152543,-1.22142349111e-05,-1.00058532183e-06,2.63311825948e-05,5.05922158141e-09,1.53668006721,2.787228226e-09,1.53331198489,1.76131553786e-09,1.53331198162,1.76131553786e-09,0.00594437314867,-0.00236898462135,0.0858766802914,-5.4696394778e-07,8.11324153659e-07,0.000497369133791,-0.000936916472306,-0.000628584105088,-5.38698406164e-07,-0.000124475023446,0.00101287068433,0.00517856173932,-0.0117276250178,-0.00144167147651,1.73856970124e-06,0.802744479495,0.802744479495,0.802744479495,0.0,0.019896684707,0.0199009251711,0.0199009251742
0.09,0.0161974016874,-0.0941437716424,0.057957124328,2.96453330828e-09,0.0025841506012,-8.04496833539e-05,2.19101332632e-08,3.43047190654e-09,6.28318526009,0.0,0.0,-6.22684215301e-09,0.15787265683,6.2831853066,0.0,0.0,-4.43544667661e-09,0.158174505403,6.28318530681,0.0,0.0,0.158174505799,6.28318530681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.22817341283e-05,-13.1263075499,0.363977095878,-1.3422155347e-05,-1.06215808483e-06,2.9038522981e-05,5.70217556787e-09,1.5912734317,2.91970891908e-09,1.58825494597,1.84618098586e-09,1.58825494201,1.84618098586e-09,0.00594275554716,-0.00235922267582,0.0859268247008,-5.65349217572e-07,9.23799171713e-07,0.000547134920071,-0.00104993391331,-0.000647315279246,-4.95676904117e-07,-0.000173979214896,0.000853365784301,0.00485682579658,-0.0098787968906,-0.0020141926507,7.04186901955e-07,0.792744479495,0.792744479495,0.792744479495,0.0,0.0198231896163,0.0198271037728,0.0198271037766
