time,RobotiQ 3-Finger Adaptive Gripper_cmx,RobotiQ 3-Finger Adaptive Gripper_cmy,RobotiQ 3-Finger Adaptive Gripper_cmz,RobotiQ 3-Finger Adaptive Gripper_q[Link 0],RobotiQ 3-Finger Adaptive Gripper_q[Link 1],RobotiQ 3-Finger Adaptive Gripper_q[Link 2],RobotiQ 3-Finger Adaptive Gripper_q[Link 3],RobotiQ 3-Finger Adaptive Gripper_q[Link 4],RobotiQ 3-Finger Adaptive Gripper_q[Link 5],RobotiQ 3-Finger Adaptive Gripper_q[reflex:base],RobotiQ 3-Finger Adaptive Gripper_q[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 0],RobotiQ 3-Finger Adaptive Gripper_dq[Link 1],RobotiQ 3-Finger Adaptive Gripper_dq[Link 2],RobotiQ 3-Finger Adaptive Gripper_dq[Link 3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 4],RobotiQ 3-Finger Adaptive Gripper_dq[Link 5],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:base],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],spray_bottle_comx,spray_bottle_comy,spray_bottle_comz,spray_bottle_x,spray_bottle_y,spray_bottle_z,spray_bottle_rx,spray_bottle_ry,spray_bottle_rz,spray_bottle_dx,spray_bottle_dy,spray_bottle_dz,spray_bottle_wx,spray_bottle_wy,spray_bottle_wz,cmd_setpoint1,cmd_setpoint2,cmd_setpoint3,cmd_setpoint4,tendon_length1,tendon_length2,tendon_length3
0.0,-0.115518068282,0.0037513134538,0.0703712743501,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.317,0.0,0.317,0.0,0.317,0.0,0.00599858760499,-0.00244978320389,0.0853732996359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882744479495,0.882744479495,0.882744479495,0.0,0.0215,0.0215,0.0215
0.01,-0.115488342009,0.00375209226507,0.0700343824081,1.16953906373e-10,0.000360475926254,-7.30019118798e-06,1.1509078135e-09,6.59518661905e-10,6.28318530491,0.0,0.0,-3.08593151033e-10,0.00378035495042,6.28318530709,0.0,0.0,-2.20022222663e-10,0.00391133723422,6.28318530712,0.0,0.0,0.00391133718141,6.28318530712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.31843170255e-07,-7.27280552481,0.0364882934623,-2.37771669594e-06,-2.33676958903e-07,4.96125768636e-06,2.81929362011e-10,0.596196450496,4.52158310793e-10,0.594886627658,2.84479106938e-10,0.594886628186,2.8448354783e-10,0.00599850885073,-0.00244983358612,0.0853640793635,2.89138504805e-13,1.80079909318e-13,-9.22436011273e-06,5.90142398698e-07,-9.22472725661e-07,-8.91937787835e-13,-7.80560077337e-06,-4.54763378786e-06,1.83909088498e-05,5.32676276874e-05,-9.14290525447e-05,2.58236377971e-11,0.872744479495,0.872744479495,0.872744479495,0.0,0.021159225,0.021159225,0.021159225
0.02,-0.115416583309,0.00375413235171,0.0694690610408,3.09468850944e-10,0.000965390982174,-2.05035497981e-05,3.41424666317e-09,1.28210331241e-09,6.28318530008,0.0,0.0,-9.61145829592e-10,0.0126185762904,6.28318530697,0.0,0.0,-6.84891254821e-10,0.0128905845184,6.28318530705,0.0,0.0,0.0128905845378,6.28318530705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.35644633765e-06,-10.9183935308,0.102486642331,-4.27272763246e-06,-4.21152936965e-07,9.0096252631e-06,8.79343566245e-10,0.824814237096,1.02373665101e-09,0.822094154816,6.44377884385e-10,0.822094154622,6.44382325277e-10,0.00599843300835,-0.00244987777147,0.085364258063,2.87459292481e-13,1.75580036621e-13,-9.04972146497e-06,1.10769709218e-06,-1.81083443285e-06,-5.00949462663e-13,-7.40627132816e-06,-4.31481100226e-06,1.74511087167e-05,5.05405149759e-05,-8.67516065959e-05,4.52769585328e-11,0.862744479495,0.862744479495,0.862744479495,0.0,0.0208551084113,0.0208565794751,0.0208565794748
0.03,-0.115304498061,0.00375771156644,0.068950860142,5.45189064148e-10,0.00151992476309,-3.19693002797e-05,6.11690964547e-09,1.7718582157e-09,6.28318529432,0.0,0.0,-1.73672987103e-09,0.0256876070886,6.28318530688,0.0,0.0,-1.23739685165e-09,0.0260410713642,6.28318530699,0.0,0.0,0.0260410714236,6.28318530699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.53515220824e-06,-12.5761818401,0.159801335996,-5.84843189709e-06,-5.62137631734e-07,1.23942992124e-05,1.5894226489e-09,1.01112392911,1.48866252658e-09,1.00758928636,9.37565580728e-10,1.00758928576,9.37565580728e-10,0.00599836347677,-0.00244992108969,0.0853644278008,2.9190538875e-13,1.72353884637e-13,-8.88362599109e-06,1.61509473269e-06,-2.6252762309e-06,8.92859271323e-14,-7.04013340716e-06,-4.08755294015e-06,1.6558412986e-05,4.78785817584e-05,-8.24629410337e-05,6.10025369998e-11,0.852744479495,0.852744479495,0.852744479495,0.0,0.0206042648463,0.0206073269514,0.0206073269525
0.04,-0.115159943114,0.00376318845366,0.0685605481694,8.34731293536e-10,0.00193765403411,-4.22744772292e-05,8.90825191391e-09,2.17366746824e-09,6.28318528835,0.0,0.0,-2.53516763138e-09,0.0422045393224,6.28318530681,0.0,0.0,-1.80616055445e-09,0.0425969728316,6.28318530694,0.0,0.0,0.0425969729381,6.28318530694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.91639658837e-06,-13.2184500148,0.211316892596,-7.24155214164e-06,-6.78289172256e-07,1.54039127119e-05,2.32049617051e-09,1.16295460678,1.86645809919e-09,1.15903027168,1.17631682173e-09,1.15903027062,1.17631238084e-09,0.00599829507162,-0.00244996079701,0.0853645886945,3.02544447828e-13,1.71995230558e-13,-8.72639893675e-06,2.08019697065e-06,-3.42652382196e-06,8.05106184207e-13,-6.6800002677e-06,-3.87749227034e-06,1.57122640369e-05,4.54180883544e-05,-7.82446101978e-05,7.39141941851e-11,0.842744479495,0.842744479495,0.842744479495,0.0,0.0203998407027,0.0204038339787,0.0204038339798
0.05,-0.114989068882,0.00377094481079,0.0682970832401,1.17833269056e-09,0.00221968830945,-5.15839236172e-05,1.16521565729e-08,2.51063170253e-09,6.28318528246,0.0,0.0,-3.31807115117e-09,0.0615312913784,6.28318530674,0.0,0.0,-2.36382380336e-09,0.0619331135571,6.28318530691,0.0,0.0,0.0619331137094,6.28318530691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.44421700708e-06,-13.3862588798,0.257856932843,-8.53610964115e-06,-7.76507650507e-07,1.82184983566e-05,3.03745654382e-09,1.28668708622,2.17321272089e-09,1.28266886443,1.37058808747e-09,1.28266886291,1.37059252836e-09,0.00599823254626,-0.00244999983723,0.0853647415328,3.1695826519e-13,1.72273219995e-13,-8.57683327658e-06,2.53748537148e-06,-4.158899848e-06,1.66629658198e-12,-6.35078493443e-06,-3.67185785256e-06,1.49084542498e-05,4.3009439393e-05,-7.43884272803e-05,8.37505993561e-11,0.832744479495,0.832744479495,0.832744479495,0.0,0.0202332482002,0.0202376992965,0.020237699298
0.06,-0.114797000092,0.00378133765399,0.0681326376024,1.57085148423e-09,0.00239579696499,-6.01048702901e-05,1.4313605412e-08,2.79589240648e-09,6.28318527671,0.0,0.0,-4.0756820141e-09,0.0831478691037,6.2831853067,0.0,0.0,-2.90343660225e-09,0.0835390791709,6.28318530687,0.0,0.0,0.0835390793706,6.28318530687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.07454408102e-06,-13.3610560999,0.300457128227,-9.78090628335e-06,-8.60446540864e-07,2.0943641085e-05,3.73136431071e-09,1.38752130896,2.42197817357e-09,1.38360920829,1.52850621049e-09,1.38360920629,1.52850621049e-09,0.00599817328295,-0.00245003691442,0.0853648865653,3.35052298406e-13,1.74069092473e-13,-8.43490054953e-06,2.9717802735e-06,-4.85306682653e-06,2.62689198179e-12,-6.03831833779e-06,-3.48025762249e-06,1.41456802419e-05,4.07651713783e-05,-7.0728427811e-05,9.54160849394e-11,0.822744479495,0.822744479495,0.822744479495,0.0,0.020097485749,0.0201020645586,0.0201020645605
0.07,-0.114588091854,0.00379467668398,0.0680365690518,2.00481219773e-09,0.00249876129512,-6.81357475571e-05,1.68984684024e-08,3.03841662941e-09,6.2831852711,0.0,0.0,-4.80970285821e-09,0.10663048404,6.28318530665,0.0,0.0,-3.42621486737e-09,0.106998141895,6.28318530685,0.0,0.0,0.106998142147,6.28318530685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.77245249804e-06,-13.2775886316,0.340609187717,-1.10024900492e-05,-9.32407882344e-07,2.36378051538e-05,4.40376875107e-09,1.4696951596,2.62340371648e-09,1.46601858105,1.65668812002e-09,1.46601857853,1.65669256091e-09,0.00599811460804,-0.00245007069485,0.0853650240152,3.57832687092e-13,1.77848187566e-13,-8.30060354377e-06,3.36745939259e-06,-5.54034154625e-06,3.64812249839e-12,-5.72981131487e-06,-3.29862770469e-06,1.34228359376e-05,3.86376981386e-05,-6.71148043957e-05,9.91955724384e-11,0.812744479495,0.812744479495,0.812744479495,0.0,0.0199868478729,0.0199913303872,0.0199913303897
0.08,-0.114365272027,0.0038112159018,0.0679839460339,2.47193040339e-09,0.00255525381472,-7.51066637903e-05,1.94246805307e-08,3.24908366878e-09,6.28318526557,0.0,0.0,-5.5251296871e-09,0.131631993279,6.28318530662,0.0,0.0,-3.93572374691e-09,0.131968801511,6.28318530683,0.0,0.0,0.131968801838,6.28318530683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.05225947965e-05,-13.1929703216,0.358316152544,-1.22142349098e-05,-1.00058488336e-06,2.6331183039e-05,5.05922440856e-09,1.53668006721,2.787228226e-09,1.53331198489,1.76131553786e-09,1.53331198162,1.76131553786e-09,0.00599806132761,-0.00245010411757,0.0853651546087,3.8170161476e-13,1.81655905596e-13,-8.17279419731e-06,3.75894854026e-06,-6.16442942603e-06,4.75508032249e-12,-5.44927335264e-06,-3.12259273648e-06,1.27360159871e-05,3.6575754854e-05,-6.38287910629e-05,1.03655666731e-10,0.802744479495,0.802744479495,0.802744479495,0.0,0.019896684707,0.0199009251711,0.0199009251742
0.09,-0.114130884588,0.00383115672062,0.067957124328,2.96453332199e-09,0.0025841506012,-8.04496833541e-05,2.19101323751e-08,3.43047101836e-09,6.28318526009,0.0,0.0,-6.22684304119e-09,0.15787265683,6.2831853066,0.0,0.0,-4.43544667661e-09,0.158174505403,6.28318530681,0.0,0.0,0.158174505799,6.28318530681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.22817341963e-05,-13.1263075499,0.363977095878,-1.34221549028e-05,-1.06215763732e-06,2.90385229824e-05,5.70217839502e-09,1.5912734317,2.91970891908e-09,1.58825494597,1.84617654497e-09,1.58825494201,1.84617654497e-09,0.00599801084507,-0.00245013585359,0.085365278534,4.0634509646e-13,1.88725771122e-13,-8.0515048201e-06,4.13068093474e-06,-6.75574491988e-06,5.89023642048e-12,-5.14944830625e-06,-3.01719117842e-06,1.2085421625e-05,3.53410726233e-05,-6.03169662465e-05,1.79061561272e-10,0.792744479495,0.792744479495,0.792744479495,0.0,0.0198231896163,0.0198271037728,0.0198271037766
