time,RobotiQ 3-Finger Adaptive Gripper_cmx,RobotiQ 3-Finger Adaptive Gripper_cmy,RobotiQ 3-Finger Adaptive Gripper_cmz,RobotiQ 3-Finger Adaptive Gripper_q[Link 0],RobotiQ 3-Finger Adaptive Gripper_q[Link 1],RobotiQ 3-Finger Adaptive Gripper_q[Link 2],RobotiQ 3-Finger Adaptive Gripper_q[Link 3],RobotiQ 3-Finger Adaptive Gripper_q[Link 4],RobotiQ 3-Finger Adaptive Gripper_q[Link 5],RobotiQ 3-Finger Adaptive Gripper_q[reflex:base],RobotiQ 3-Finger Adaptive Gripper_q[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 0],RobotiQ 3-Finger Adaptive Gripper_dq[Link 1],RobotiQ 3-Finger Adaptive Gripper_dq[Link 2],RobotiQ 3-Finger Adaptive Gripper_dq[Link 3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 4],RobotiQ 3-Finger Adaptive Gripper_dq[Link 5],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:base],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],heinz_comx,heinz_comy,heinz_comz,heinz_x,heinz_y,heinz_z,heinz_rx,heinz_ry,heinz_rz,heinz_dx,heinz_dy,heinz_dz,heinz_wx,heinz_wy,heinz_wz,cmd_setpoint1,cmd_setpoint2,cmd_setpoint3,cmd_setpoint4,tendon_length1,tendon_length2,tendon_length3
0.0,-0.00372385972247,-0.105531018478,0.13537127435,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.317,0.0,0.317,0.0,0.317,0.0,-0.00116717788806,-0.000184965069223,0.0982167452863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882744479495,0.882744479495,0.882744479495,0.0,0.0215,0.0215,0.0215
0.01,-0.00372461486168,-0.105501291594,0.135034382408,1.16953907142e-10,0.000360475926254,-7.300191188e-06,1.1509078135e-09,6.59519550084e-10,6.28318530491,0.0,0.0,-3.08593151033e-10,0.00378035495042,6.28318530709,0.0,0.0,-2.20023110842e-10,0.00391133723422,6.28318530712,0.0,0.0,0.00391133718141,6.28318530712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3184317374e-07,-7.27280552481,0.0364882934624,-2.37771669448e-06,-2.33677398389e-07,4.96125813077e-06,2.81926534858e-10,0.596196450496,4.52158310793e-10,0.594886627658,2.8448354783e-10,0.594886628186,2.8448354783e-10,-0.00116719444952,-0.00018500831644,0.0982074316705,-3.44260644297e-13,2.38316197288e-12,-9.31333755215e-06,4.4034862895e-07,-1.6861805047e-07,-7.97162627399e-12,7.97531851623e-06,-5.001732809e-05,6.79139564299e-06,0.00050926181515,8.12063975917e-05,4.88530953263e-10,0.872744479495,0.872744479495,0.872744479495,0.0,0.021159225,0.021159225,0.021159225
0.02,-0.0037265978043,-0.105429531293,0.134469061041,3.09468850847e-10,0.000965390982174,-2.05035497982e-05,3.41424666317e-09,1.28210420058e-09,6.28318530008,0.0,0.0,-9.61145829592e-10,0.0126185762904,6.28318530697,0.0,0.0,-6.84891254821e-10,0.0128905845184,6.28318530705,0.0,0.0,0.0128905845378,6.28318530705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.35644633559e-06,-10.9183935308,0.102486642332,-4.27272763182e-06,-4.21153380864e-07,9.00962526246e-06,8.79343566245e-10,0.824814237096,1.02373665101e-09,0.822094154816,6.44377884385e-10,0.822094154622,6.44377884385e-10,-0.00116705656269,-0.000184857334963,0.0982075174027,3.54733820443e-13,-1.98347230567e-12,-9.22952817432e-06,-1.09692297085e-06,1.23527835486e-06,-3.25573356058e-11,-5.90484989297e-06,3.99899980525e-05,7.64420725737e-06,-0.000407164394278,-6.01229991691e-05,-1.14515514062e-09,0.862744479495,0.862744479495,0.862744479495,0.0,0.0208551084113,0.0208565794751,0.0208565794748
0.03,-0.00373008776142,-0.10531744323,0.133950860142,5.45189058893e-10,0.00151992476309,-3.19693002799e-05,6.11690964547e-09,1.7718582157e-09,6.28318529432,0.0,0.0,-1.73672987103e-09,0.0256876070886,6.28318530688,0.0,0.0,-1.23739685165e-09,0.0260410713642,6.28318530699,0.0,0.0,0.0260410714236,6.28318530699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.53515218393e-06,-12.5761818401,0.159801335997,-5.84843189634e-06,-5.62137638334e-07,1.23942992139e-05,1.5894226489e-09,1.01112392911,1.48866252658e-09,1.00758928636,9.37565580728e-10,1.00758928576,9.37565580728e-10,-0.00116719439952,-0.000184753218226,0.0982076059261,5.1761091073e-13,6.07298526788e-13,-9.13956270399e-06,-2.15696768088e-06,-1.6811771459e-07,-3.76297992001e-11,-8.98637928577e-06,-1.47093662978e-05,8.94043662381e-06,0.000149767393965,-9.14956267455e-05,-2.04165484287e-10,0.852744479495,0.852744479495,0.852744479495,0.0,0.0206042648463,0.0206073269514,0.0206073269525
0.04,-0.00373544953394,-0.105172883967,0.133560548169,8.34731292834e-10,0.00193765403411,-4.22744772292e-05,8.90825191391e-09,2.17366746824e-09,6.28318528835,0.0,0.0,-2.53516763138e-09,0.0422045393224,6.28318530681,0.0,0.0,-1.80616055445e-09,0.0425969728316,6.28318530694,0.0,0.0,0.0425969729381,6.28318530694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.91639658823e-06,-13.2184500148,0.211316892596,-7.24155214255e-06,-6.78289175425e-07,1.54039127167e-05,2.32049617051e-09,1.16295460678,1.86645809919e-09,1.15903027168,1.17631682173e-09,1.15903027062,1.17631682173e-09,-0.00116714327047,-0.000185083137107,0.0982076790522,-1.3777960977e-12,9.91819148512e-13,-9.06642304097e-06,1.20212623901e-06,3.52475248941e-07,-4.31819370786e-11,3.09184056169e-05,-2.36313137155e-05,6.78555782343e-06,0.000240592792699,0.000314799574198,-5.56721817726e-09,0.842744479495,0.842744479495,0.842744479495,0.0,0.0203998407027,0.0204038339787,0.0204038339798
0.05,-0.00374306981689,-0.105002003613,0.13329708324,1.17833268643e-09,0.00221968830945,-5.15839236172e-05,1.16521565729e-08,2.51063170253e-09,6.28318528246,0.0,0.0,-3.31807115117e-09,0.0615312913784,6.28318530674,0.0,0.0,-2.36382380336e-09,0.0619331135571,6.28318530691,0.0,0.0,0.0619331137094,6.28318530691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.44421698711e-06,-13.3862588798,0.257856932843,-8.53610964129e-06,-7.76507655743e-07,1.82184983615e-05,3.03745654382e-09,1.28668708622,2.17321272089e-09,1.28266886443,1.37059252836e-09,1.28266886291,1.37059252836e-09,-0.00116704468154,-0.00018483565938,0.098207752392,4.42186001356e-13,-2.01501516211e-12,-8.99472085818e-06,-1.31761424355e-06,1.35624618094e-06,-6.34110059712e-11,-6.23732706089e-06,3.82875595645e-05,6.4870211789e-06,-0.000389832184708,-6.35078704741e-05,-8.18028492449e-10,0.832744479495,0.832744479495,0.832744479495,0.0,0.0202332482002,0.0202376992965,0.020237699298
0.06,-0.00375330970728,-0.104809926608,0.133132637602,1.57085147791e-09,0.00239579696499,-6.01048702901e-05,1.43136063002e-08,2.79589329466e-09,6.28318527671,0.0,0.0,-4.0756820141e-09,0.0831478691037,6.2831853067,0.0,0.0,-2.90343571407e-09,0.0835390791709,6.28318530687,0.0,0.0,0.0835390793706,6.28318530687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.07454405782e-06,-13.3610560999,0.300457128227,-9.78090672665e-06,-8.6044697689e-07,2.09436410848e-05,3.73136713786e-09,1.38752130896,2.42197373268e-09,1.38360920829,1.52851065138e-09,1.38360920629,1.52851065138e-09,-0.00116718202313,-0.000184711012377,0.0982078284624,4.61494341006e-13,3.54906588059e-13,-8.91725288198e-06,-2.58669142239e-06,-4.21060294102e-08,-6.66562822919e-11,-6.29805021108e-06,-1.18580956426e-05,7.95414325972e-06,0.000120737916356,-6.4122729736e-05,2.38973712154e-10,0.822744479495,0.822744479495,0.822744479495,0.0,0.020097485749,0.0201020645586,0.0201020645605
0.07,-0.00376648237384,-0.104601007814,0.133036569052,2.00481218186e-09,0.00249876129512,-6.81357475571e-05,1.68984684024e-08,3.03841751759e-09,6.2831852711,0.0,0.0,-4.80970197003e-09,0.10663048404,6.28318530665,0.0,0.0,-3.4262139792e-09,0.106998141895,6.28318530685,0.0,0.0,0.106998142147,6.28318530685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.77245241969e-06,-13.2775886316,0.340609187717,-1.10024900473e-05,-9.32408336978e-07,2.36378051547e-05,4.40376875107e-09,1.4696951596,2.62339927559e-09,1.46601858105,1.65669700181e-09,1.46601857853,1.65669256091e-09,-0.00116720988105,-0.000185010104072,0.0982078948707,-3.26989954211e-13,2.15307567782e-12,-8.84995060549e-06,4.58547875123e-07,-3.257352399e-07,-6.61525896043e-11,1.05137649111e-05,-4.9816832325e-05,4.32656834404e-06,0.000507220612977,0.000107048939871,1.24142317536e-09,0.812744479495,0.812744479495,0.812744479495,0.0,0.0199868478729,0.0199913303872,0.0199913303897
0.08,-0.00378284414904,-0.104378174887,0.132983946034,2.47193038692e-09,0.00255525381472,-7.51066637902e-05,1.94246805307e-08,3.24908455696e-09,6.28318526557,0.0,0.0,-5.52512879892e-09,0.131631993279,6.28318530662,0.0,0.0,-3.93572374691e-09,0.131968801511,6.28318530683,0.0,0.0,0.131968801838,6.28318530683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.05225947125e-05,-13.1929703216,0.358316152543,-1.22142349111e-05,-1.00058532496e-06,2.63311825916e-05,5.05922158141e-09,1.53668006721,2.787228226e-09,1.53331198489,1.76131553786e-09,1.53331198162,1.76131553786e-09,-0.00116702300042,-0.000184929071081,0.0982079560637,2.06050020796e-13,-1.93223995831e-12,-8.79113085667e-06,-3.6653596546e-07,1.57699637905e-06,-8.95685153327e-11,1.27041593644e-07,3.4487871982e-05,5.8892133764e-06,-0.000351143443728,1.28778166559e-06,-3.82014128619e-09,0.802744479495,0.802744479495,0.802744479495,0.0,0.019896684707,0.0199009251711,0.0199009251742
0.09,-0.00380259831255,-0.104143771642,0.132957124328,2.96453330014e-09,0.0025841506012,-8.04496833539e-05,2.19101332632e-08,3.43047190654e-09,6.28318526009,0.0,0.0,-6.22684215301e-09,0.15787265683,6.2831853066,0.0,0.0,-4.43544667661e-09,0.158174505403,6.28318530681,0.0,0.0,0.158174505799,6.28318530681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.22817340882e-05,-13.1263075499,0.363977095878,-1.34221553474e-05,-1.06215809098e-06,2.90385229829e-05,5.70217556787e-09,1.5912734317,2.91970891908e-09,1.58825494597,1.84618098586e-09,1.58825494201,1.84618098586e-09,-0.00116714539083,-0.000184695149576,0.0982080180654,1.12111903962e-12,-1.26947831045e-12,-8.72811499864e-06,-2.7482157274e-06,3.30861329251e-07,-9.55109877631e-11,-1.87580246881e-05,2.02603204884e-05,5.95492362998e-06,-0.000206282680731,-0.000190984301657,1.40808881516e-09,0.792744479495,0.792744479495,0.792744479495,0.0,0.0198231896163,0.0198271037728,0.0198271037766
