time,body1,body2,numContacts,cpx_avg,cpy_avg,cpz_avg,cnx_avg,cny_avg,cnz_avg,fx_avg,fy_avg,fz_avg,mx_avg,my_avg,mz_avg
0.01,floor,hammer,9,0.0640894449171,-0.000697778090773,-2.54614784843e-05,0.0,0.0,-0.998581841588,-0.0427023452745,0.00557012386711,9.12670121852,-3.0707195103e-05,-1.66668420993e-06,0.000848051928544
0.02,floor,hammer,9,0.0640894450193,-0.000697777922231,-2.44122378828e-05,0.0,0.0,-0.998581841588,-0.000106658856197,-0.000301043839412,9.29113752138,-2.33499594396e-05,-0.00148822585214,-5.67461650676e-05
0.03,floor,hammer,9,0.0640894451248,-0.000697777455605,-2.37001749937e-05,0.0,0.0,-0.998581841588,-0.000101170256705,-0.00028555773697,9.29109960785,-2.35931266527e-05,-0.00148806777417,-5.38312145808e-05
0.04,floor,hammer,9,0.0640894452367,-0.000697777011931,-2.30244696536e-05,0.0,0.0,-0.998581841588,-9.59656515333e-05,-0.000270899054066,9.29106364809,-2.37973867139e-05,-0.00148797430011,-5.10716328412e-05
0.05,floor,hammer,9,0.0640894453535,-0.000697776590133,-2.2383265531e-05,0.0,0.0,-0.998581841588,-9.10294469097e-05,-0.000256992400587,9.29102953549,-2.39688032396e-05,-0.00148793172001,-4.84532495375e-05
0.06,floor,hammer,8,0.0713853749991,-0.000580998943798,-2.45947036584e-05,0.0,0.0,-0.998404571787,-8.6347737458e-05,-0.000243799266722,9.29099717529,-2.41125062535e-05,-0.00148792873716,-4.59688715422e-05
0.07,floor,hammer,8,0.0713853750915,-0.000580998652372,-2.40987554048e-05,0.0,0.0,-0.998404571787,-8.19073444043e-05,-0.000231283104426,9.29096647757,-2.42328413991e-05,-0.00148795609866,-4.36116684659e-05
0.08,floor,hammer,8,0.0713853751862,-0.000580998375398,-2.36281098242e-05,0.0,0.0,-0.998404571787,-7.76957770171e-05,-0.000219409228227,9.29093735703,-2.43334881226e-05,-0.00148800625716,-4.13751546758e-05
0.09,floor,hammer,8,0.0713853752822,-0.000580998112186,-2.31814760451e-05,0.0,0.0,-0.998404571787,-7.3701196159e-05,-0.000208144721812,9.29090973272,-2.44175602271e-05,-0.00148807308586,-3.92531723339e-05
0.1,floor,hammer,8,0.071385375379,-0.000580997862075,-2.27576290481e-05,0.0,0.0,-0.998404571787,-6.99123798102e-05,-0.000197458348951,9.29088352784,-2.44876914083e-05,-0.00148815163884,-3.72398751901e-05
0.11,floor,hammer,8,0.0713853754758,-0.000580997624434,-2.23554063069e-05,0.0,0.0,-0.998404571787,-6.63186904646e-05,-0.000187320468822,9.29085866952,-2.45461079991e-05,-0.00148823794966,-3.53297131461e-05
0.12,floor,hammer,8,0.0713853755723,-0.000580997398659,-2.19737046011e-05,0.0,0.0,-0.998404571787,-6.29100442877e-05,-0.000177702955406,9.29083508865,-2.45946908219e-05,-0.0014883288622,-3.35174175379e-05
0.13,floor,hammer,8,0.0713853756679,-0.000580997184176,-2.16114769914e-05,0.0,0.0,-0.998404571787,-5.96768819403e-05,-0.0001685791208,9.29081271961,-2.46350277657e-05,-0.00148842188892,-3.17979871036e-05
0.14,floor,hammer,9,0.0934932234693,0.00177022669567,-1.89109648117e-05,0.0,0.0,-0.998619149129,-1.6399551752e-05,-0.0013584514057,9.29004355047,-7.74217841206e-05,-0.00125838178655,-0.000257194816451
0.15,floor,hammer,9,0.0934932235178,0.00177022670834,-1.86218556863e-05,0.0,0.0,-0.998619149129,-4.27126253671e-05,-1.39477970965e-05,9.29061570812,-7.62107391281e-05,-0.00126187788466,-2.62769681205e-06
0.16,floor,hammer,9,0.0934932235659,0.00177022672105,-1.83484527986e-05,0.0,0.0,-0.998619149129,-4.04983512897e-05,-1.39869287085e-05,9.29060434857,-7.6214879146e-05,-0.00126191167193,-2.63565220678e-06
0.17,floor,hammer,9,0.0934932236134,0.00177022673318,-1.80890129337e-05,0.0,0.0,-0.998619149129,-3.84213829275e-05,-1.3284944157e-05,9.29059385093,-7.62185448412e-05,-0.00126194604309,-2.50336734147e-06
0.18,floor,hammer,9,0.0934932236602,0.00177022674476,-1.78428229785e-05,0.0,0.0,-0.998619149129,-3.64510027736e-05,-1.26181690537e-05,9.29058389253,-7.62217283051e-05,-0.00126198028441,-2.37771806643e-06
0.19,floor,hammer,9,0.093493223706,0.00177022675582,-1.76092062505e-05,0.0,0.0,-0.998619149129,-3.45817337433e-05,-1.1984841884e-05,9.29057444569,-7.62244939183e-05,-0.00126201396591,-2.2583723421e-06
0.2,floor,hammer,9,0.0934932237509,0.00177022676637,-1.73875206254e-05,0.0,0.0,-0.998619149129,-3.28083810118e-05,-1.13832857781e-05,9.29056548413,-7.62268973523e-05,-0.00126204676324,-2.14501408949e-06
0.21,floor,hammer,9,0.0934932237946,0.00177022677643,-1.7177156772e-05,0.0,0.0,-0.998619149129,-3.11260172664e-05,-1.08119079e-05,9.29055698293,-7.62289867643e-05,-0.00126207843803,-2.03734307604e-06
0.22,floor,hammer,9,0.0934932238372,0.00177022678603,-1.69775364781e-05,0.0,0.0,-0.998619149129,-2.9529968874e-05,-1.02691951957e-05,9.29054891843,-7.62308038262e-05,-0.00126210882161,-1.93507411316e-06
0.23,floor,hammer,9,0.0934932238786,0.00177022679519,-1.67881110605e-05,0.0,0.0,-0.998619149129,-2.80158027586e-05,-9.7537103881e-06,9.2905412682,-7.6232384611e-05,-0.00126213780142,-1.83793630045e-06
0.24,floor,hammer,8,0.104464500754,0.00215512919699,-1.87044667478e-05,0.0,0.0,-0.998008310795,-2.65996998942e-05,-9.26339265155e-06,9.29053396793,-7.9633272483e-05,-0.000697497276467,-1.74498428186e-06
0.25,floor,hammer,8,0.104464500786,0.00215512920369,-1.85706806851e-05,0.0,0.0,-0.998008310795,-2.52325086205e-05,-8.8056582979e-06,9.29052707839,-7.96345945263e-05,-0.000697550184313,-1.65875995157e-06
0.26,floor,hammer,8,0.104464500817,0.00215512921007,-1.84437467286e-05,0.0,0.0,-0.998008310795,-2.39376290156e-05,-8.36311224993e-06,9.2905205536,-7.96357568177e-05,-0.000697600183044,-1.57539400311e-06
0.27,floor,hammer,7,0.118570428214,0.00252328950531,-2.09590537238e-05,0.0,0.0,-0.997131990535,-2.27248906961e-05,-7.86971115989e-06,9.29051439584,-7.8181853401e-05,7.0722345015e-05,-1.48174862121e-06
0.28,floor,hammer,6,0.13737833139,0.00287183656899,-2.43955580439e-05,0.0,0.0,-0.997344414393,-2.15497108113e-05,-7.54139104367e-06,9.29050847623,-7.81826692618e-05,7.0725924084e-05,-1.41997295105e-06
0.29,floor,hammer,6,0.137378331401,0.00287183657101,-2.43760504844e-05,0.0,0.0,-0.997344414393,-2.04426895039e-05,-7.16280975371e-06,9.29050290979,-7.81833777194e-05,7.07295629307e-05,-1.34868847237e-06
0.3,floor,hammer,6,0.137378331411,0.00287183657293,-2.43575553305e-05,0.0,0.0,-0.997344414393,-1.93925563964e-05,-6.80322346222e-06,9.29049762898,-7.81839973474e-05,7.07333358563e-05,-1.28098076298e-06
0.31,floor,hammer,6,0.137378331422,0.00287183657477,-2.43400200472e-05,0.0,0.0,-0.997344414393,-1.83963861004e-05,-6.4616799494e-06,9.29049261915,-7.81845397017e-05,7.07372445988e-05,-1.21667050454e-06
0.32,floor,hammer,6,0.137378331432,0.00287183657651,-2.43233948251e-05,0.0,0.0,-0.997344414393,-1.74514038664e-05,-6.1372743866e-06,9.29048786639,-7.81850148167e-05,7.07412839794e-05,-1.15558730467e-06
0.33,floor,hammer,6,0.137378331441,0.00287183657818,-2.4307632439e-05,0.0,0.0,-0.997344414393,-1.65549778039e-05,-5.82914730202e-06,9.29048335752,-7.81854314086e-05,7.0745443814e-05,-1.09756931403e-06
0.34,floor,hammer,6,0.13737833145,0.00287183657976,-2.42926881144e-05,0.0,0.0,-0.997344414393,-1.57046114989e-05,-5.53648228049e-06,9.29047908002,-7.81857970506e-05,7.07497104435e-05,-1.04246279257e-06
0.35,floor,hammer,6,0.137378331459,0.00287183658127,-2.42785193997e-05,0.0,0.0,-0.997344414393,-1.48979370309e-05,-5.25850384668e-06,9.29047502202,-7.81861183247e-05,7.07540679467e-05,-9.90121711018e-07
0.36,floor,hammer,6,0.137378331468,0.00287183658271,-2.4265086046e-05,0.0,0.0,-0.997344414393,-1.4132708342e-05,-4.99447538716e-06,9.29047117225,-7.81864009526e-05,7.07584990972e-05,-9.4040735919e-07
0.37,floor,hammer,6,0.137378331476,0.00287183658408,-2.42523498927e-05,0.0,0.0,-0.997344414393,-1.34067949521e-05,-4.7436972069e-06,9.29046752003,-7.81866499097e-05,7.07629861054e-05,-8.93187979841e-07
0.38,floor,hammer,6,0.137378331484,0.00287183658538,-2.42402747595e-05,0.0,0.0,-0.997344414393,-1.27181760066e-05,-4.50550468547e-06,9.29046405523,-7.81868695236e-05,7.07675111895e-05,-8.48338421356e-07
0.39,floor,hammer,6,0.137378331491,0.00287183658662,-2.42288263431e-05,0.0,0.0,-0.997344414393,-1.20649346125e-05,-4.27926653464e-06,9.29046076821,-7.81870635584e-05,7.07720570018e-05,-8.05739809599e-07
0.4,floor,hammer,6,0.137378331498,0.0028718365878,-2.42179721203e-05,0.0,0.0,-0.997344414393,-1.14452524915e-05,-4.06438309378e-06,9.29045764987,-7.81872352896e-05,7.0776606944e-05,-7.65279226518e-07
0.41,floor,hammer,6,0.137378331505,0.00287183658892,-2.42076812554e-05,0.0,0.0,-0.997344414393,-1.08574048953e-05,-3.86028478404e-06,9.29045469155,-7.81873875674e-05,7.07811453892e-05,-7.26849419266e-07
0.42,floor,hammer,5,0.163874998554,0.00377260280932,-2.90399669061e-05,0.0,0.0,-0.996813297272,-1.02997557884e-05,-3.66643056629e-06,9.29045188504,-7.81875228727e-05,7.07856578287e-05,-6.90348509547e-07
0.43,floor,hammer,5,0.163874998554,0.00377260280933,-2.9064937987e-05,0.0,0.0,-0.996813297272,-9.77075326837e-06,-3.4823065273e-06,9.29044922254,-7.81876433647e-05,7.07901309661e-05,-6.55679727257e-07
0.44,floor,hammer,5,0.163874998554,0.00377260280934,-2.90886323301e-05,0.0,0.0,-0.996813297272,-9.26892525118e-06,-3.3074245407e-06,9.29044669666,-7.81877509234e-05,7.07945527559e-05,-6.22751158561e-07
0.45,floor,hammer,5,0.163874998554,0.00377260280934,-2.91111152124e-05,0.0,0.0,-0.996813297272,-8.79287534353e-06,-3.14132094062e-06,9.29044430041,-7.81878471853e-05,7.07989124177e-05,-5.91475495717e-07
0.46,floor,hammer,5,0.163874998554,0.00377260280935,-2.91324485739e-05,0.0,0.0,-0.996813297272,-8.34127895475e-06,-2.98355530326e-06,9.29044202711,-7.81879335753e-05,7.08032004177e-05,-5.61769807853e-07
0.47,floor,hammer,5,0.163874998554,0.00377260280936,-2.91526911875e-05,0.0,0.0,-0.996813297272,-7.91287960003e-06,-2.83370929143e-06,9.29043987047,-7.81880113341e-05,7.08074084263e-05,-5.33555323081e-07
0.48,floor,hammer,5,0.163874998554,0.00377260280937,-2.91718988212e-05,0.0,0.0,-0.996813297272,-7.50648538921e-06,-2.69138556226e-06,9.2904378245,-7.81880815417e-05,7.08115292738e-05,-5.06757223178e-07
0.48,floor,RobotiQ 3-Finger Adaptive Gripper[reflex:distal_pad_1],3,0.162042582318,0.0650182741403,-1.01796304765e-05,0.0,0.0,-0.998619149129,0.0,0.0,7.56231775519,0.0,0.0,0.0
0.48,floor,RobotiQ 3-Finger Adaptive Gripper[reflex:distal_pad_2],3,0.214041881254,0.0643090482934,-1.46507468042e-05,0.0,0.0,-0.998619149129,1.13597178647,10.8372386401,0.0,4.66178095757e-05,-3.53035913372e-07,-0.0506183687801
0.48,floor,RobotiQ 3-Finger Adaptive Gripper[reflex:distal_pad_3],1,0.183282718164,-0.0541287609233,-1.18992876575e-05,0.0,0.0,-0.999391414225,-0.166231326645,-0.166332554272,9.17906988773,0.0,0.0,0.0
0.49,floor,hammer,5,0.163874998554,0.00377260280937,-2.91901243918e-05,0.0,0.0,-0.996813297272,-7.12096570789e-06,-2.55620667931e-06,9.29043588352,-7.81881451385e-05,7.08155568802e-05,-4.8130443817e-07
0.49,floor,RobotiQ 3-Finger Adaptive Gripper[reflex:distal_pad_1],2,0.157376444168,0.062464493489,-5.90790192445e-06,0.0,0.0,-0.998247072101,1.54084645408,2.63934133104,0.0,1.45190651883e-05,-8.47622467349e-06,-0.000242910301647
0.49,floor,RobotiQ 3-Finger Adaptive Gripper[reflex:distal_pad_2],1,0.209378438423,0.061916035881,-2.6302719929e-06,0.0,0.0,-0.996494144201,0.638032033192,0.640276751153,4.82500578651,0.0,0.0,0.0
0.49,floor,RobotiQ 3-Finger Adaptive Gripper[reflex:distal_pad_3],1,0.183285910653,-0.0512880946774,-2.81662652023e-06,0.0,0.0,-0.999391414225,-1.13107254766,-1.13176132151,1.8003495873,0.0,0.0,0.0
0.5,floor,hammer,5,0.163874998554,0.00377260280938,-2.92074181104e-05,0.0,0.0,-0.996813297272,-6.75524806445e-06,-2.42781414307e-06,9.29043404214,-7.81882029436e-05,7.08194861891e-05,-4.57129464107e-07
0.5,floor,RobotiQ 3-Finger Adaptive Gripper[reflex:distal_pad_2],1,0.209377407983,0.0585278750244,-1.92691449149e-06,0.0,0.0,-0.996494144201,1.50932684519,1.5146369439,2.36558017666,-1.6414509867e-17,0.0,1.04730588451e-17
0.5,floor,RobotiQ 3-Finger Adaptive Gripper[reflex:distal_pad_3],1,0.183290405929,-0.0477796650776,-9.80002729037e-07,0.0,0.0,-0.999391414225,-1.64489336599,-1.6458950343,1.59407228874,0.0,0.0,0.0
0.51,floor,hammer,5,0.163874998554,0.00377260280938,-2.92238276212e-05,0.0,0.0,-0.996813297272,-6.40831509023e-06,-2.30586742366e-06,9.29043229525,-7.81882556694e-05,7.08233130947e-05,-4.34168181093e-07
