time,RobotiQ 3-Finger Adaptive Gripper_cmx,RobotiQ 3-Finger Adaptive Gripper_cmy,RobotiQ 3-Finger Adaptive Gripper_cmz,RobotiQ 3-Finger Adaptive Gripper_q[Link 0],RobotiQ 3-Finger Adaptive Gripper_q[Link 1],RobotiQ 3-Finger Adaptive Gripper_q[Link 2],RobotiQ 3-Finger Adaptive Gripper_q[Link 3],RobotiQ 3-Finger Adaptive Gripper_q[Link 4],RobotiQ 3-Finger Adaptive Gripper_q[Link 5],RobotiQ 3-Finger Adaptive Gripper_q[reflex:base],RobotiQ 3-Finger Adaptive Gripper_q[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 0],RobotiQ 3-Finger Adaptive Gripper_dq[Link 1],RobotiQ 3-Finger Adaptive Gripper_dq[Link 2],RobotiQ 3-Finger Adaptive Gripper_dq[Link 3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 4],RobotiQ 3-Finger Adaptive Gripper_dq[Link 5],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:base],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],spray_bottle_comx,spray_bottle_comy,spray_bottle_comz,spray_bottle_x,spray_bottle_y,spray_bottle_z,spray_bottle_rx,spray_bottle_ry,spray_bottle_rz,spray_bottle_dx,spray_bottle_dy,spray_bottle_dz,spray_bottle_wx,spray_bottle_wy,spray_bottle_wz,cmd_setpoint1,cmd_setpoint2,cmd_setpoint3,cmd_setpoint4,tendon_length1,tendon_length2,tendon_length3
0.0,0.115543990532,0.0363035836876,0.16037127435,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.317,0.0,0.317,0.0,0.317,0.0,0.00599858760499,-0.00244978320389,0.0853732996359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882744479495,0.882744479495,0.882744479495,0.0,0.0215,0.0215,0.0215
0.01,0.115514263057,0.0363028522209,0.160034382408,1.16953909217e-10,0.000360475926254,-7.30019118804e-06,1.1509078135e-09,6.59518661905e-10,6.28318530491,0.0,0.0,-3.08593151033e-10,0.00378035495042,6.28318530709,0.0,0.0,-2.20023110842e-10,0.00391133723422,6.28318530712,0.0,0.0,0.00391133718141,6.28318530712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.31843186738e-07,-7.27280552482,0.0364882934626,-2.37771669475e-06,-2.33676958981e-07,4.96125813334e-06,2.81926534858e-10,0.596196450496,4.52158310793e-10,0.594886627658,2.8448354783e-10,0.594886628186,2.84479106938e-10,0.00599850885073,-0.00244983358612,0.0853640793635,2.89138504805e-13,1.80079909318e-13,-9.22436011273e-06,5.90142398698e-07,-9.22472725661e-07,-8.91937787835e-13,-7.80560077337e-06,-4.54763378786e-06,1.83909088498e-05,5.32676276874e-05,-9.14290525447e-05,2.58236377971e-11,0.872744479495,0.872744479495,0.872744479495,0.0,0.021159225,0.021159225,0.021159225
0.02,0.115442501199,0.0363009264236,0.159469061041,3.09468852691e-10,0.000965390982174,-2.05035497981e-05,3.41424666317e-09,1.28210331241e-09,6.28318530008,0.0,0.0,-9.61146717771e-10,0.0126185762904,6.28318530697,0.0,0.0,-6.84891254821e-10,0.0128905845184,6.28318530705,0.0,0.0,0.0128905845378,6.28318530705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.35644634486e-06,-10.9183935308,0.102486642331,-4.27272763081e-06,-4.2115294002e-07,9.00962526381e-06,8.79346393398e-10,0.824814237096,1.02373665101e-09,0.822094154816,6.44377884385e-10,0.822094154622,6.44377884385e-10,0.00599843300835,-0.00244987777147,0.085364258063,2.87459292481e-13,1.75580036621e-13,-9.04972146497e-06,1.10769709218e-06,-1.81083443285e-06,-5.00949462663e-13,-7.40627132816e-06,-4.31481100226e-06,1.74511087167e-05,5.05405149759e-05,-8.67516065959e-05,4.52769585328e-11,0.862744479495,0.862744479495,0.862744479495,0.0,0.0208551084113,0.0208565794751,0.0208565794748
0.03,0.115330410392,0.0362975257263,0.158950860142,5.45189066301e-10,0.00151992476309,-3.19693002798e-05,6.11690964547e-09,1.7718582157e-09,6.28318529432,0.0,0.0,-1.73672987103e-09,0.0256876070886,6.28318530688,0.0,0.0,-1.23739685165e-09,0.0260410713642,6.28318530699,0.0,0.0,0.0260410714236,6.28318530699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.53515221899e-06,-12.5761818401,0.159801335997,-5.84843189743e-06,-5.62137648623e-07,1.23942992138e-05,1.5894226489e-09,1.01112392911,1.48865808569e-09,1.00758928636,9.37565580728e-10,1.00758928576,9.37565580728e-10,0.00599836347677,-0.00244992108969,0.0853644278008,2.9190538875e-13,1.72353884637e-13,-8.88362599109e-06,1.61509473269e-06,-2.6252762309e-06,8.92859271323e-14,-7.04013340716e-06,-4.08755294015e-06,1.6558412986e-05,4.78785817584e-05,-8.24629410337e-05,6.10025369998e-11,0.852744479495,0.852744479495,0.852744479495,0.0,0.0206042648463,0.0206073269514,0.0206073269525
0.04,0.115185846906,0.0362922790718,0.158560548169,8.34731297578e-10,0.00193765403411,-4.22744772292e-05,8.90825191391e-09,2.17366746824e-09,6.28318528835,0.0,0.0,-2.53516851956e-09,0.0422045393224,6.28318530681,0.0,0.0,-1.80616055445e-09,0.0425969728316,6.28318530694,0.0,0.0,0.0425969729381,6.28318530694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.91639661133e-06,-13.2184500148,0.211316892596,-7.24155214338e-06,-6.78289183353e-07,1.54039127143e-05,2.32049899766e-09,1.16295460678,1.86645365829e-09,1.15903027168,1.17631682173e-09,1.15903027062,1.17631682173e-09,0.00599829507162,-0.00244996079701,0.0853645886945,3.02544447828e-13,1.71995230558e-13,-8.72639893675e-06,2.08019697065e-06,-3.42652382196e-06,8.05106184207e-13,-6.6800002677e-06,-3.87749227034e-06,1.57122640369e-05,4.54180883544e-05,-7.82446101978e-05,7.39141941851e-11,0.842744479495,0.842744479495,0.842744479495,0.0,0.0203998407027,0.0204038339787,0.0204038339798
0.05,0.115014960537,0.0362847948679,0.15829708324,1.17833269055e-09,0.00221968830945,-5.15839236172e-05,1.16521565729e-08,2.51063170253e-09,6.28318528246,0.0,0.0,-3.31807203935e-09,0.0615312913784,6.28318530674,0.0,0.0,-2.36382291519e-09,0.0619331135571,6.28318530691,0.0,0.0,0.0619331137094,6.28318530691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.44421700981e-06,-13.3862588798,0.257856932843,-8.53610963975e-06,-7.76507656657e-07,1.82184983578e-05,3.03746219813e-09,1.28668708622,2.17321272089e-09,1.28266886443,1.37059696925e-09,1.28266886291,1.37059252836e-09,0.00599823254626,-0.00244999983723,0.0853647415328,3.1695826519e-13,1.72273219995e-13,-8.57683327658e-06,2.53748537148e-06,-4.158899848e-06,1.66629658198e-12,-6.35078493443e-06,-3.67185785256e-06,1.49084542498e-05,4.3009439393e-05,-7.43884272803e-05,8.37505993561e-11,0.832744479495,0.832744479495,0.832744479495,0.0,0.0202332482002,0.0202376992965,0.020237699298
0.06,0.114822875439,0.0362747079368,0.158132637602,1.57085147545e-09,0.00239579696499,-6.010487029e-05,1.43136063002e-08,2.79589240648e-09,6.28318527671,0.0,0.0,-4.0756820141e-09,0.0831478691037,6.2831853067,0.0,0.0,-2.90343571407e-09,0.0835390791709,6.28318530687,0.0,0.0,0.0835390793706,6.28318530687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.07454404457e-06,-13.3610560999,0.300457128227,-9.78090672595e-06,-8.60446542859e-07,2.09436415301e-05,3.73136713786e-09,1.38752130896,2.42197373268e-09,1.38360920829,1.52851065138e-09,1.38360920629,1.52851065138e-09,0.00599817328295,-0.00245003691442,0.0853648865653,3.35052298406e-13,1.74069092473e-13,-8.43490054953e-06,2.9717802735e-06,-4.85306682653e-06,2.62689198179e-12,-6.03831833779e-06,-3.48025762249e-06,1.41456802419e-05,4.07651713783e-05,-7.0728427811e-05,9.54160849394e-11,0.822744479495,0.822744479495,0.822744479495,0.0,0.020097485749,0.0201020645586,0.0201020645605
0.07,0.114613946222,0.036261701642,0.158036569052,2.0048121779e-09,0.00249876129512,-6.81357475571e-05,1.68984684024e-08,3.03841662941e-09,6.2831852711,0.0,0.0,-4.80970285821e-09,0.10663048404,6.28318530665,0.0,0.0,-3.42621309102e-09,0.106998141895,6.28318530685,0.0,0.0,0.106998142147,6.28318530685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.77245240485e-06,-13.2775886316,0.340609187717,-1.10024900461e-05,-9.32407884427e-07,2.36378051529e-05,4.40377440538e-09,1.4696951596,2.6233948347e-09,1.46601858105,1.65669700181e-09,1.46601857853,1.65669700181e-09,0.00599811460804,-0.00245007069485,0.0853650240152,3.57832687092e-13,1.77848187566e-13,-8.30060354377e-06,3.36745939259e-06,-5.54034154625e-06,3.64812249839e-12,-5.72981131487e-06,-3.29862770469e-06,1.34228359376e-05,3.86376981386e-05,-6.71148043957e-05,9.91955724384e-11,0.812744479495,0.812744479495,0.812744479495,0.0,0.0199868478729,0.0199913303872,0.0199913303897
0.08,0.114391100335,0.0362455173198,0.157983946034,2.47193039061e-09,0.00255525381472,-7.51066637903e-05,1.94246805307e-08,3.24908455696e-09,6.28318526557,0.0,0.0,-5.5251296871e-09,0.131631993279,6.28318530662,0.0,0.0,-3.93572285873e-09,0.131968801511,6.28318530683,0.0,0.0,0.131968801838,6.28318530683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.05225947349e-05,-13.1929703216,0.358316152544,-1.22142349111e-05,-1.00058532062e-06,2.63311830415e-05,5.05922723572e-09,1.53668006721,2.78722378511e-09,1.53331198489,1.76131553786e-09,1.53331198162,1.76131997875e-09,0.00599806132761,-0.00245010411757,0.0853651546087,3.8170161476e-13,1.81655905596e-13,-8.17279419731e-06,3.75894854026e-06,-6.16442942603e-06,4.75508032249e-12,-5.44927335264e-06,-3.12259273648e-06,1.27360159871e-05,3.6575754854e-05,-6.38287910629e-05,1.03655666731e-10,0.802744479495,0.802744479495,0.802744479495,0.0,0.019896684707,0.0199009251711,0.0199009251742
0.09,0.114156681435,0.0362259498242,0.157957124328,2.96453331246e-09,0.0025841506012,-8.0449683354e-05,2.19101332632e-08,3.43047190654e-09,6.28318526009,0.0,0.0,-6.22684215301e-09,0.15787265683,6.2831853066,0.0,0.0,-4.43544578843e-09,0.158174505403,6.28318530681,0.0,0.0,0.158174505799,6.28318530681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.22817341481e-05,-13.1263075499,0.363977095878,-1.34221553487e-05,-1.06215807986e-06,2.90385229811e-05,5.70217839502e-09,1.5912734317,2.9197000373e-09,1.58825494597,1.84618098586e-09,1.58825494201,1.84618098586e-09,0.00599801084507,-0.00245013585359,0.085365278534,4.0634509646e-13,1.88725771122e-13,-8.0515048201e-06,4.13068093474e-06,-6.75574491988e-06,5.89023642048e-12,-5.14944830625e-06,-3.01719117842e-06,1.2085421625e-05,3.53410726233e-05,-6.03169662465e-05,1.79061561272e-10,0.792744479495,0.792744479495,0.792744479495,0.0,0.0198231896163,0.0198271037728,0.0198271037766
